"","model_desc","name"
"1","HA-PO-3-W","covarwhale"
"2","HA-HE-2-SIGMA","covarwhale"
"3","HA-HE-3-SIGMA","covarwhale"
"4","HA-PO-3-SIGMA","covarwhale"
"5","HN-CO-3-SIGMA","cluster"
"6","HA-PO-3-SIGMA","cluster"
"7","HN-HE-2-SIGMA","sika"
"8","HN-HE-3-SIGMA","sika"
"9","HN-HE-3-SIGMA","crabbies"
"10","HA-PO-2-W","ducknest"
"11","HN-HE-2-W","ltex"
"12","HN-HE-3-W","ltex"
"13","HA-HE-3-W","ltex"
"14","HN-PO-3-W","ltex"
"15","HA-PO-3-W","ltex"
"16","HA-HE-2-SIGMA","ltex"
"17","HN-HE-3-SIGMA","ltex"
"18","HA-HE-3-SIGMA","ltex"
"19","HN-PO-3-SIGMA","ltex"
"20","HA-PO-3-SIGMA","ltex"
"21","HN-HE-3-W","ptex"
"22","HN-HE-3-SIGMA","ptex"
"23","HN-PO-3-SIGMA","ptex"
"24","HA-CO-3-SIGMA","systvar1"
"25","HN-CO-3-SIGMA","systvar2"
"26","HN-HE-3-SIGMA","systvar2"
"27","HA-HE-3-W","Wren3"
"28","HN-HE-2-SIGMA","Wren4"
"29","HN-PO-3-W","bug_183_akepa"
"30","HA-HE-3-W","rocio_hr_1"
"31","HA-HE-3-W","rocio_hr_2"
"32","HA-HE-2-W","rocio_hr_3"
"33","HA-HE-3-W","rocio_hr_3"
"34","HA-PO-3-SIGMA","rocio_hr_3"
"35","HN-PO-1-W","rocio_dat_bad_2"
"36","HN-HE-2-W","rocio_dat_bad_2"
"37","HN-PO-2-W","rocio_dat_bad_2"
"38","HA-PO-2-W","rocio_dat_bad_2"
"39","HN-HE-3-W","rocio_dat_bad_2"
"40","HA-HE-3-W","rocio_dat_bad_2"
"41","HN-PO-3-W","rocio_dat_bad_2"
"42","HA-PO-3-W","rocio_dat_bad_2"
"43","HN-HE-2-SIGMA","rocio_dat_bad_2"
"44","HN-PO-2-SIGMA","rocio_dat_bad_2"
"45","HN-HE-3-SIGMA","rocio_dat_bad_2"
"46","HN-PO-3-SIGMA","rocio_dat_bad_2"
"47","HA-PO-3-SIGMA","rocio_dat_bad_2"
